,List_Num,Story_Num,Cond_Num,Page_Num,Sentence,,Question_Num,Question,Target,Distractor
1,1,1,1,1,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence. The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone. You can glance at the watch face to view the artist and title of a song. ",,1,Will the new watch include a microphone or speaker?,No,Yes
2,1,2,1,1,"Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as ""two patches of intensely bright and white light"" over the sunspots. He jotted a note in his painstaking record. That night there was scarcely a square inch of earth that was not illuminated by aurora. ",,2,Did Richard Carrington observe moon spots?,No,Yes
3,1,3,1,1,"I agree that California's ""three strikes and you're out"" law will be a financial disaster for taxpayers who care about education and other vital services. But it's far from clear that the law can even be credited with a reduction in crime in California. While it's true that crime declined in California last year, crime also dropped nationwide.",,3,Was the “Three Strikes Law” enacted in Arizona?,No,Yes
4,1,4,1,1,"Liza was in a bad temper, for she was mixing the Christmas puddings in the kitchen, and had been drawn from them, with a raisin still on her cheek, by Nana's absurd suspicions. She thought the best way of getting a little quiet was to take Nana to the nursery for a moment, but in custody of course. ",,4,Was Liza preparing for Easter?,No,Yes
5,1,5,1,1,"Mrs. Darling quivered and went to the window. It was securely fastened. She looked out, and the night was peppered with stars. They were crowding round the house, as if curious to see what was to take place there, but she did not notice this, nor that one or two of the smaller ones winked at her. ",,5,Did Mrs. Darling notice the stars outside her window? ,No,Yes
6,1,6,1,1,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea. He did not know that the crocodile was waiting for him; for we purposely stopped the clock that this knowledge might be spared him: a little mark of respect from us at the end. ",,6,Was Peter carrying a gun?,No,Yes
7,1,7,1,1,"Dorothy didn't know. She looked around her anxiously for some familiar landmark; but everything was strange. Between the branches of the many roads were green meadows and a few shrubs and trees, but she couldn't see the farm-house from which she had just come, or anything she had ever seen before, except the shaggy man and Toto. ",,7,Did Dorothy recognize where she was?,No,Yes
8,1,8,1,1,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity. Heat reactions usually occur when large amounts of water and/or salt are lost through excessive sweating following strenuous exercise. When the body becomes overheated and cannot eliminate this excess heat, heat exhaustion and heat stroke are possible.",,8,Does heat stroke occur when the body cannot eliminate the excess heat? ,Yes,No
9,1,9,1,1,"It was a forbidding challenge, and it says much for Winstanley's persuasive abilities, not to mention his self-confidence, that the admiralty agreed to fund him. No lighthouse had ever been built out to sea on an isolated rock before. The Eddystone is hard enough to avoid, but landing on it is a separate challenge entirely. ",,9,Did Winstanley plan to build a lighthouse?,Yes,No
10,1,10,1,1,"A clergyman remarked to him, ""The Lord is on our side."" I am not at all concerned about that, replied Mr. Lincoln; ""for I know that the Lord is always on the side of the right. But it is my constant anxiety and prayer that I and this nation should be on the Lord's side."" ",,10,Is this passage about President Washington?,No,Yes
11,1,11,1,1,"Known as Rapa Nui to the island's inhabitants, Rongorongo is a writing system comprised of pictographs. It has been found carved into many oblong wooden tablets and other artifacts from the island's history. The art of writing was not known in any nearby islands and the script's mere existence is sufficient to confound anthropologists. ",,11,Is Rongorongo a musical script? ,No,Yes
12,1,12,1,1,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity. He walked into his bank one day and asked to withdraw his entire account balance, but with an unusual stipulation: He wanted as much of the cash as possible in one dollar notes. ",,12,Did Mr. Larson withdraw his account in one dollar notes?,Yes,No
13,1,13,1,1,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor. ""I don't think you're going to have a heat wave I'm not going to be able to handle,"" he said. ""Everybody treats it differently. My son Ronnie, his caddie, and I won't be riding carts.",,13,Does Bob Murphy play golf?,Yes,No
14,1,14,1,1,"With schools still closed, cars still buried and streets still blocked by the widespread weekend snowstorm, officials are asking people to pick up a shovel and help out. In Boston, a ""snow angel"" campaign is using social media to encourage neighbors and friends to be an angel and help dig out the stranded.",,14,Is this passage about the effects of a snowstorm?,Yes,No
15,1,15,1,1,"Greg Anderson, considered a key witness by the prosecution, vowed he wouldn't testify when served a subpoena last week. His lawyers said he was prepared for a third prison stay to maintain his silence. Anderson was released July 20 after a two-week stay for previously declining to testify before a different grand jury.",,15,Did Greg Anderson resist testifying?,Yes,No
16,1,16,1,1,"Steam sterilization is limited in the types of medical waste it can treat, but is appropriate for laboratory cultures and substances contaminated with infectious organisms. The waste is subjected to steam in a sealed, pressurized chamber. The liquid that may form is drained off to the sewer or sent for processing. ",,16,Is this passage about alcohol sterilization?,No,Yes
17,1,17,1,1,"Owls are more flexible than humans because a bird's head is only connected by one socket pivot. People have two, which limits our ability to twist, Forsman added. Owls also have multiple vertebrae, the small bones that make up the neck and spine, helping them achieve a wide range of motion. ",,17,Are owls more flexible than humans? ,Yes,No
18,1,18,1,1,"Even in the same animal, not all bites are the same. A new study finds that because the force in a muscle depends on how much it is stretched, an animal's bite force depends on the size of what it is biting. The finding has direct implications for ecology and evolution.",,18,Does the study find that all bites from the same animal are the same?,No,Yes
